"company_number","event_type","event_date","company_name","unique_id","idx"
"11467106","C2","01/05/2020","ASH RAIL LTD ","1","478"
"09062234","D4","04/05/2020","ASH TREE FIELDS MANAGEMENT COMPANY ","2","479"
"08608329","D1","30/04/2020","ASHRAJCARE LIMITED ","3","480"
"05434957","D1","30/04/2020","ABOUT CHANGE COMMUNICATIONS ","5","481"
"08819231","D1","29/04/2020","ABRAM BROTHERS BUILDING ","6","482"
"08995177","D4","05/05/2020","ABOUT DANCE LTD ","7","483"
"08970803","D4","29/04/2020","SPICE HUT (BURTON) LIMITED ","9","484"
"04867823","D1","03/05/2020","SPIN LEISURE LIMITED ","10","485"
"04190727","D4","30/04/2020","ABBEYGATE PROPERTIES & INVESTMENTS  LIMITED","11","486"
"10319790","D1","05/05/2020","ABBOTS COLCHESTER MANAGEMENT 2016 ","12","487"
"03189540","D4","04/05/2020","ADAMSON ASSOCIATES (INTERNATIONAL)  LIMITED","15","488"
"11337961","D4","05/05/2020","A DAVIES PLUMBING AND HEATING ","16","489"
"10270447","D1","30/04/2020","SPICE HUT SS6 LTD ","19","490"
"10285166","D1","01/05/2020","SPINNACLE LTD ","20","491"
"09728965","D1","05/05/2020","ASHTON COURT (LAINDON) MANAGEMENT  LIMITED","21","492"
"08994141","E1","30/04/2020","ASHWOOD ELECTRICAL LIMITED ","22","493"
"05805271","D4","04/05/2020","ASHWOOD GATE MANAGEMENT COMPANY ","24","494"
"03051833","D4","04/05/2020","ABBEY HOUSE MANAGEMENT COMPANY  LIMITED","25","495"
"03047207","C3","03/05/2020","ABBOTS LODGE (EASTBOURNE) LIMITED ","26","496"
"07238870","D4","01/05/2020","ABBOTSTONE PROPERTY SERVICES ","28","497"
"12581157","B1","01/05/2020","SPICE HUT GROUP LIMITED ","29","498"
"08340958","E1","30/04/2020","SPINNA CIRCLE ","30","499"
"12035576","","","O-VIEW LTD ","31","500"
"11828862","","12/05/2020","PEAS AND LOVE GARDENING SERVICES ","32","501"
"06059692","","","OVT OBERFLAECHENVEREDELUNGSTECHNIK  LIMITED","33","502"
"11968485","","12/05/2020","PEBBLERIDGE POTTERY LTD ","34","503"
"09336896","","12/05/2020","PEEPAL ","36","504"
"12565538","","04/05/2020","AA JACKPOT LIMITED/WRIGHT  LIFESTYLE LIMITED","37","505"
"10347751","","04/05/2020","ALPHABETICALLY AUTISTIC COMMUNITY ","38","506"
"09040319","","30/04/2020","ABAKUS BYES SOLAR UK LIMITED/BYES  SOLAR UK LIMITED","41","507"
"10467114","","05/05/2020","ALPHA SPORTS ASSOCIATES LTD/YCS ","44","508"
"12117789","","30/04/2020","AI LONDON HOLDINGS LTD/OPTIONS  GREATHIRE LIMITED","45","509"
"07009628","","30/04/2020","ARCADIA HOME HEATING ","46","510"
"11832181","","","ABRASUMENTE LTD ","51","511"
"11391078","","12/05/2020","AEROSPACE AND DEFENCE SERVICES ","52","512"
"07519891","","","ABRAXAS EDUCATION LTD ","53","513"
